,title,country,clean_description,listed_in_clean,cast_clean,combined
8075,spy kids 2: the island of lost dreams,United States,spy cortez team two secret order take evil scientist,children family movies comedies,antonio banderas carla gugino alexa penavega daryl sabara steve buscemi mike judge danny trejo cheech marin matt o'leary emily osment ricardo montalban holland taylor alan cumming,spy cortez team two secret order take evil scientist children family movies comedies antonio banderas carla gugino alexa penavega daryl sabara steve buscemi mike judge danny trejo cheech marin matt o'leary emily osment ricardo montalban holland taylor alan cumming
8076,spy kids 3: game over,United States,caught virtual reality game designed new toymaker save beating game,children family movies comedies,daryl sabara sylvester stallone ricardo montalban alexa penavega,caught virtual reality game designed new toymaker save beating game children family movies comedies daryl sabara sylvester stallone ricardo montalban alexa penavega
8077,spy time,Spain,bore working stiff father secret agent dangerous thug,action adventure comedies international movies,imanol arias quim gutiérrez alexandra jiménez berto romero carlos areces eduardo gómez dani el rojo emilio gutiérrez caba rossy de palma sílvia abril,bore working stiff father secret agent dangerous thug action adventure comedies international movies imanol arias quim gutiérrez alexandra jiménez berto romero carlos areces eduardo gómez dani el rojo emilio gutiérrez caba rossy de palma sílvia abril
8078,st. agatha,United States,unwed pregnant young woman abusive home refuge mysterious convent terrible secret,horror movies independent movies,sabrina kern carolyn hennesy courtney halverson shaun fletcher lindsay seim hannah fierman trin miller seth michaels justin miles,unwed pregnant young woman abusive home refuge mysterious convent terrible secret horror movies independent movies sabrina kern carolyn hennesy courtney halverson shaun fletcher lindsay seim hannah fierman trin miller seth michaels justin miles
8079,staged killer,United States,popular morning television host old acquaintance dark past professional personal begin unravel,thrillers,chrishell hartley jason dolley darrin dewitt henson nicole bilderback charlie o'connell chasty ballesteros lyman chen declan joyce frank rossi josh nuncio,popular morning television host old acquaintance dark past professional personal begin unravel thrillers chrishell hartley jason dolley darrin dewitt henson nicole bilderback charlie o'connell chasty ballesteros lyman chen declan joyce frank rossi josh nuncio
8080,standoff,Canada,assassin slaughter young girl farmhouse suicidal vet must use fend killer,action adventure,thomas jane laurence fishburne joanna douglas john tench ted atherton jim watson ella ballentine,assassin slaughter young girl farmhouse suicidal vet must use fend killer action adventure thomas jane laurence fishburne joanna douglas john tench ted atherton jim watson ella ballentine
8081,star men,"Canada, United States, United Kingdom",four celebrate friendship achievement taking reflective road trip southwest,documentaries,nan,four celebrate friendship achievement taking reflective road trip southwest documentaries nan
8082,star wars: episode viii: the last jedi,United States,resistance flee first order luke nothing force,action adventure children family movies sci-fi fantasy,mark hamill carrie fisher adam driver daisy ridley john boyega oscar isaac andy serkis lupita nyong o domhnall gleeson anthony daniels gwendoline christie kelly marie tran laura dern frank oz benicio del toro warwick davis noah segan jimmy vee joonas suotamo joseph gordon-levitt tim rose paul kasey matthew sharp adrian edmondson amanda lawrence justin theroux,resistance flee first order luke nothing force action adventure children family movies sci-fi fantasy mark hamill carrie fisher adam driver daisy ridley john boyega oscar isaac andy serkis lupita nyong o domhnall gleeson anthony daniels gwendoline christie kelly marie tran laura dern frank oz benicio del toro warwick davis noah segan jimmy vee joonas suotamo joseph gordon-levitt tim rose paul kasey matthew sharp adrian edmondson amanda lawrence justin theroux
8083,star-crossed,United States,passionate love alien boy human girl dangerous face wrath,romantic shows dramas sci-fi fantasy,aimee teegarden matt lanter grey damon malese jow greg finley natalie hall titus makin jr. chelsea gilligan,passionate love alien boy human girl dangerous face wrath romantic shows dramas sci-fi fantasy aimee teegarden matt lanter grey damon malese jow greg finley natalie hall titus makin jr. chelsea gilligan
8084,starred up,United Kingdom,juvenile offender violent temper transferred adult prison father,dramas independent movies international movies,jack o'connell ben mendelsohn rupert friend sam spruell anthony welsh david ajala peter ferdinando gershwyn eustache jnr ashley chin raphael sowole gilly gilchrist tommy mcdonnell,juvenile offender violent temper transferred adult prison father dramas independent movies international movies jack o'connell ben mendelsohn rupert friend sam spruell anthony welsh david ajala peter ferdinando gershwyn eustache jnr ashley chin raphael sowole gilly gilchrist tommy mcdonnell
8085,station horizon,Switzerland,swiss community culture start save family gas station,international shows comedies dramas,bernard yerlès roland vouilloz gaspard boesch alexandra vandernoot marie fontannaz lavinia longhi baptiste gilliéron,swiss community culture start save family gas station international shows comedies dramas bernard yerlès roland vouilloz gaspard boesch alexandra vandernoot marie fontannaz lavinia longhi baptiste gilliéron
8086,stealing history,United States,expose promote plunder ancient,documentaries international movies,nicolas hope,expose promote plunder ancient documentaries international movies nicolas hope
8087,step brothers,United States,dale might grown men stop childish sibling rivalry dale dad,comedies,will ferrell john c. reilly mary steenburgen richard jenkins adam scott kathryn hahn andrea savage lurie poston elizabeth yozamp logan manus rob riggle,dale might grown men stop childish sibling rivalry dale dad comedies will ferrell john c. reilly mary steenburgen richard jenkins adam scott kathryn hahn andrea savage lurie poston elizabeth yozamp logan manus rob riggle
8088,step outside,Egypt,man book materialize take life,comedies international movies,kareem mahmoud abdel aziz khaled el sawy ahmed fathy malak koura ashraf abdel baqi,man book materialize take life comedies international movies kareem mahmoud abdel aziz khaled el sawy ahmed fathy malak koura ashraf abdel baqi
8089,stephanie,United States,menacing unseen force young girl living suburban house surrounded family,horror movies,shree cooks frank grillo anna torv,menacing unseen force young girl living suburban house surrounded family horror movies shree cooks frank grillo anna torv
8090,sthaniya sambaad,India,young poet urban colony city search woman channel,dramas international movies,suman mukhopadhyay,young poet urban colony city search woman channel dramas international movies suman mukhopadhyay
8091,still,Thailand,hotel body water tank fire prison death comprise four horror tale taken newspaper,horror movies international movies,mai charoenpura akara amarttayakul supakson chaimongkol kachapa toncharoen wiradit srimalai vasana chalakorn ratchanont sukpragawp arisara thongborisut,hotel body water tank fire prison death comprise four horror tale taken newspaper horror movies international movies mai charoenpura akara amarttayakul supakson chaimongkol kachapa toncharoen wiradit srimalai vasana chalakorn ratchanont sukpragawp arisara thongborisut
8092,stink!,United States,strange odor child single dad search source potentially toxic chemical industry,documentaries,jeffrey hollender,strange odor child single dad search source potentially toxic chemical industry documentaries jeffrey hollender
8093,stoked,"United States, Canada",six teenage come together one summer share dream work surfer paradise resort legendary sunset island,kids,terry mcgurrin katie crown kristin fairlie mazin elsadig anastasia phillips arnold pinnock jamie spilchuk lauren lipson fiona reid jeff geddis,six teenage come together one summer share dream work surfer paradise resort legendary sunset island kids terry mcgurrin katie crown kristin fairlie mazin elsadig anastasia phillips arnold pinnock jamie spilchuk lauren lipson fiona reid jeff geddis
8094,stone age,South Korea,woody become stone age best animal trainer little help faithful pet dinosaur,kids korean shows,samantha moon nancy kim jacqueline youn mike yantzi anna paik matt anipen josh schwartzentruber,woody become stone age best animal trainer little help faithful pet dinosaur kids korean shows samantha moon nancy kim jacqueline youn mike yantzi anna paik matt anipen josh schwartzentruber
8095,stonehearst asylum,United States,young doctor asylum apprenticeship becomes suspicious mentor falling female patient,horror movies thrillers,kate beckinsale jim sturgess david thewlis brendan gleeson ben kingsley michael caine jason flemyng sophie kennedy clark sinéad cusack edmund kingsley,young doctor asylum apprenticeship becomes suspicious mentor falling female patient horror movies thrillers kate beckinsale jim sturgess david thewlis brendan gleeson ben kingsley michael caine jason flemyng sophie kennedy clark sinéad cusack edmund kingsley
8096,stop at nothing: the lance armstrong story,"Australia, United Kingdom, United States, New Zealand, Italy, France",athlete world tale miraculous recovery cancer becoming sport hero beacon hope outpace truth,documentaries international movies sports movies,nan,athlete world tale miraculous recovery cancer becoming sport hero beacon hope outpace truth documentaries international movies sports movies nan
8097,storage wars: northern treasures,United States,canada colorful collection bid largely unknown content abandoned storage,international shows reality,ursula stolf paul kenny bogart kenny roy dirnbeck don reinhart rick coffill cindy hayden,canada colorful collection bid largely unknown content abandoned storage international shows reality ursula stolf paul kenny bogart kenny roy dirnbeck don reinhart rick coffill cindy hayden
8098,story of an egg,India,astrologer one year find mate face alone forever professor find bride despite serious,comedies international movies romantic movies,raj b. shetty usha bhandary shailashree prakash tuminadu amrutha naik shreya anchan vj vineeth rahul amin deepak rai panaje ramdas,astrologer one year find mate face alone forever professor find bride despite serious comedies international movies romantic movies raj b. shetty usha bhandary shailashree prakash tuminadu amrutha naik shreya anchan vj vineeth rahul amin deepak rai panaje ramdas
8099,straight up,United States,gay identity romantic relationship woman leaving sex physical intimacy,comedies independent movies lgbtq movies,james sweeney katie findlay randall park hillary anne matthews james scully betsy brandt,gay identity romantic relationship woman leaving sex physical intimacy comedies independent movies lgbtq movies james sweeney katie findlay randall park hillary anne matthews james scully betsy brandt
8100,strange but true,Canada,young woman rattle former family pregnant child despite death five ago,dramas thrillers,amy ryan nick robinson margaret qualley greg kinnear blythe danner brian cox connor jessup,young woman rattle former family pregnant child despite death five ago dramas thrillers amy ryan nick robinson margaret qualley greg kinnear blythe danner brian cox connor jessup
8101,stranger than fiction,"United States, United Kingdom",writer kill main character man hearing voice head day,comedies romantic movies,will ferrell maggie gyllenhaal dustin hoffman queen latifah emma thompson kristin chenoweth tony hale tom hulce linda hunt,writer kill main character man hearing voice head day comedies romantic movies will ferrell maggie gyllenhaal dustin hoffman queen latifah emma thompson kristin chenoweth tony hale tom hulce linda hunt
8102,strawberry shortcake: berry bitty adventures,"France, United States, Canada",join strawberry shortcake berry best whimsical land berry bitty city learn teamwork,kids,anna cummer janyse jaud andrea libman britt mckillip ingrid nilson ashleigh ball,join strawberry shortcake berry best whimsical land berry bitty city learn teamwork kids anna cummer janyse jaud andrea libman britt mckillip ingrid nilson ashleigh ball
8103,strictly ballroom,"Australia, United Kingdom",partner major dance competition gifted hoofer hastings forced take graceless neophyte new partner,classic movies comedies romantic movies,paul mercurio tara morice bill hunter pat thomson gia carides peter whitford barry otto john hannan,partner major dance competition gifted hoofer hastings forced take graceless neophyte new partner classic movies comedies romantic movies paul mercurio tara morice bill hunter pat thomson gia carides peter whitford barry otto john hannan
8104,strike a pose,"Netherlands, Belgium",later documentary male backed ambition tour seen truth dare,documentaries international movies lgbtq movies,nan,later documentary male backed ambition tour seen truth dare documentaries international movies lgbtq movies nan
8105,stripes,United States,losing everything indolent sad sack impulsively army best friend,classic movies comedies cult movies,bill murray harold ramis warren oates p.j soles sean young john candy john larroquette john voldstad john diehl lance legault judge reinhold,losing everything indolent sad sack impulsively army best friend classic movies comedies cult movies bill murray harold ramis warren oates p.j soles sean young john candy john larroquette john voldstad john diehl lance legault judge reinhold
8106,striptease,United States,former employee work stripper finance custody battle daughter secretly shady congressman interest,comedies dramas,demi moore burt reynolds armand assante ving rhames robert patrick paul guilfoyle jerry grayson rumer willis robert stanton william hill,former employee work stripper finance custody battle daughter secretly shady congressman interest comedies dramas demi moore burt reynolds armand assante ving rhames robert patrick paul guilfoyle jerry grayson rumer willis robert stanton william hill
8107,strong girl bong-soon,South Korea,born supernatural strength evil justice getting love triangle bos cop crush,crime shows international shows korean shows,park bo-young park hyung-sik ji soo shim hye-jin yu jae-myeong jeon seok-ho im won-hee kim won-hae,born supernatural strength evil justice getting love triangle bos cop crush crime shows international shows korean shows park bo-young park hyung-sik ji soo shim hye-jin yu jae-myeong jeon seok-ho im won-hee kim won-hae
8108,stronger than the world,Brazil,tough fighter personal quest become champion sport,action adventure dramas international movies,josé loreto cleo pires milhem cortaz jackson antunes claudia ohana rômulo arantes neto paloma bernardi thaila ayala rafinha bastos felipe titto,tough fighter personal quest become champion sport action adventure dramas international movies josé loreto cleo pires milhem cortaz jackson antunes claudia ohana rômulo arantes neto paloma bernardi thaila ayala rafinha bastos felipe titto
8109,strongland,,countryside stony terrain collection uplifting cultural great,docuseries international shows,nan,countryside stony terrain collection uplifting cultural great docuseries international shows nan
8110,stuart little 2,United States,zany store lovable city mouse human brother raise roof sequel blockbuster,children family movies comedies,michael j. fox geena davis hugh laurie jonathan lipnicki nathan lane melanie griffith james woods steve zahn,zany store lovable city mouse human brother raise roof sequel blockbuster children family movies comedies michael j. fox geena davis hugh laurie jonathan lipnicki nathan lane melanie griffith james woods steve zahn
8111,submission,United States,trip home marine looking help comrade survive underground world new await,action adventure dramas,scott pryor darrin dewitt henson eric roberts kevin sizemore lorynn york john gray sara mcmann ovince saint preux,trip home marine looking help comrade survive underground world new await action adventure dramas scott pryor darrin dewitt henson eric roberts kevin sizemore lorynn york john gray sara mcmann ovince saint preux
8112,suburra,"Italy, France",grueling battle turning seaside town near gambling paradise criminal endemic corruption grand scale,dramas international movies thrillers,pierfrancesco favino elio germano claudio amendola alessandro borghi greta scarano giulia gorietti jean-hugues anglade antonello fassari lidia vitale,grueling battle turning seaside town near gambling paradise criminal endemic corruption grand scale dramas international movies thrillers pierfrancesco favino elio germano claudio amendola alessandro borghi greta scarano giulia gorietti jean-hugues anglade antonello fassari lidia vitale
8113,suckseed,Thailand,boyhood crush ped band friend impress romantic bloom talented group,comedies international movies music musicals,jirayu la-ongmanee pachara chirathivat nattasha nauljam thawat pornrattanaprasert,boyhood crush ped band friend impress romantic bloom talented group comedies international movies music musicals jirayu la-ongmanee pachara chirathivat nattasha nauljam thawat pornrattanaprasert
8114,sudani from nigeria,India,soccer club manager one injured foreign home recuperate form unlikely bond despite cultural,comedies dramas international movies,soubin shahir samuel abiola robinson savithri sredharan aneesh menon,soccer club manager one injured foreign home recuperate form unlikely bond despite cultural comedies dramas international movies soubin shahir samuel abiola robinson savithri sredharan aneesh menon
8115,suicide (hitabdut),Israel,businessman must kill pay loan shark family die detective case turn shocking secret,international movies thrillers,mali levi rotem keinan dror keren igal naor,businessman must kill pay loan shark family die detective case turn shocking secret international movies thrillers mali levi rotem keinan dror keren igal naor
8116,suite française,"United Kingdom, France, Canada, Belgium, United States",waiting news husband woman reluctantly german officer quartering home,dramas international movies romantic movies,michelle williams matthias schoenaerts kristin scott thomas sam riley ruth wilson tom schilling harriet walter alexandra maria lara margot robbie lambert wilson,waiting news husband woman reluctantly german officer quartering home dramas international movies romantic movies michelle williams matthias schoenaerts kristin scott thomas sam riley ruth wilson tom schilling harriet walter alexandra maria lara margot robbie lambert wilson
8117,suits,South Korea,renowned corporate attorney prestigious firm dropout photographic memory law degree help,international shows korean shows comedies,jang dong-gun park hyung-sik jin hee-kyung chae jung-an ko sung-hee choi guy-hwa kim young-ho lee sang-yi,renowned corporate attorney prestigious firm dropout photographic memory law degree help international shows korean shows comedies jang dong-gun park hyung-sik jin hee-kyung chae jung-an ko sung-hee choi guy-hwa kim young-ho lee sang-yi
8118,summer night,United States,group small town experience variety personal relationship leading gathering local watering hole,comedies dramas romantic movies,ellar coltrane callan mcauliffe ian nelson lana condor analeigh tipton melina vidler bill milner justin chatwin ella hunt elena kampouris victoria justice khris davis hayden szeto,group small town experience variety personal relationship leading gathering local watering hole comedies dramas romantic movies ellar coltrane callan mcauliffe ian nelson lana condor analeigh tipton melina vidler bill milner justin chatwin ella hunt elena kampouris victoria justice khris davis hayden szeto
8119,summer of '92,"Denmark, United Kingdom, Sweden",quirk fate national soccer team championship final coach must whip unprepared squad shape,dramas international movies sports movies,ulrich thomsen henning jensen mikkel boe følsgaard cyron melville esben smed jensen gustav dyekjaer giese jon lange allan hyde johannes lassen morten vang simonsen,quirk fate national soccer team championship final coach must whip unprepared squad shape dramas international movies sports movies ulrich thomsen henning jensen mikkel boe følsgaard cyron melville esben smed jensen gustav dyekjaer giese jon lange allan hyde johannes lassen morten vang simonsen
8120,sunrise,"India, France",investigating child police inspector shadowy dream figure daughter,dramas independent movies international movies,adil hussain tannishtha chatterjee gulnaaz ansari komal gupta esha amlani ashalata wabgaonkar hridaynath jadhav chinmay kambli nandini bora komal gawade,investigating child police inspector shadowy dream figure daughter dramas independent movies international movies adil hussain tannishtha chatterjee gulnaaz ansari komal gupta esha amlani ashalata wabgaonkar hridaynath jadhav chinmay kambli nandini bora komal gawade
8121,super bheem,India,series valiant superhero go beyond village fight good fight across universe,kids,sonal kaushal rupa bhimani julie tejwani sabina malik jigna bharadhwaj rajesh kawa,series valiant superhero go beyond village fight good fight across universe kids sonal kaushal rupa bhimani julie tejwani sabina malik jigna bharadhwaj rajesh kawa
8122,super bheem bana vajraveer,India,find magical root monster land gang foil plan save kingdom,children family movies,sonal kaushal rupa bhimani julie tejwani sabina malik jigna bharadhwaj rajesh kawa,find magical root monster land gang foil plan save kingdom children family movies sonal kaushal rupa bhimani julie tejwani sabina malik jigna bharadhwaj rajesh kawa
8123,super dark times,United States,tragic accident wedge two teenage threatening friendship firm unshakeable,dramas independent movies thrillers,owen campbell charlie tahan elizabeth cappuccino max talisman amy hargreaves sawyer barth adea lennox ethan botwick,tragic accident wedge two teenage threatening friendship firm unshakeable dramas independent movies thrillers owen campbell charlie tahan elizabeth cappuccino max talisman amy hargreaves sawyer barth adea lennox ethan botwick
8124,super nani,India,loving concerned grandson rescue unappreciated grandmother drudgery fulfill true potential,comedies dramas international movies,rekha randhir kapoor sharman joshi anupam kher shweta kumar varsha usgaonkar rajesh kumar shreya narayan,loving concerned grandson rescue unappreciated grandmother drudgery fulfill true potential comedies dramas international movies rekha randhir kapoor sharman joshi anupam kher shweta kumar varsha usgaonkar rajesh kumar shreya narayan
8125,super wings,"United States, South Korea, China",cheerful jet transforming strive find peaceful around globe,kids korean shows,luca padovan evan smolin junah jang colin critchley,cheerful jet transforming strive find peaceful around globe kids korean shows luca padovan evan smolin junah jang colin critchley
8126,superbad,United States,sex college high school seth try score booze huge party leading series wild,comedies cult movies,jonah hill michael cera christopher mintz-plasse bill hader seth rogen martha macisaac emma stone aviva baumann joe lo truglio kevin corrigan,sex college high school seth try score booze huge party leading series wild comedies cult movies jonah hill michael cera christopher mintz-plasse bill hader seth rogen martha macisaac emma stone aviva baumann joe lo truglio kevin corrigan
8127,superfly,United States,get away thug life cocaine dealer priest together one last deal net enough money start,action adventure classic movies dramas,ron o'neal carl lee sheila frazier julius harris charles mcgregor nate adams polly niles yvonne delaine,get away thug life cocaine dealer priest together one last deal net enough money start action adventure classic movies dramas ron o'neal carl lee sheila frazier julius harris charles mcgregor nate adams polly niles yvonne delaine
8128,superman returns,United States,superman metropolis lane another man new plan rule world,action adventure sci-fi fantasy,brandon routh kate bosworth kevin spacey james marsden parker posey frank langella sam huntington eva marie saint marlon brando kal penn,superman metropolis lane another man new plan rule world action adventure sci-fi fantasy brandon routh kate bosworth kevin spacey james marsden parker posey frank langella sam huntington eva marie saint marlon brando kal penn
8129,supernature: wild flyers,United Kingdom,series aerodynamics flight evolutionary certain specie survive taking sky,british shows docuseries science nature,nan,series aerodynamics flight evolutionary certain specie survive taking sky british shows docuseries science nature nan
8130,superstar,United States,socially awkward catholic schoolgirl win dreamy classmate taking first prize upcoming talent show,comedies,molly shannon will ferrell elaine hendrix harland williams mark mckinney glynis johns jason blicker gerry bamman emmy laybourne jennifer irwin tom green,socially awkward catholic schoolgirl win dreamy classmate taking first prize upcoming talent show comedies molly shannon will ferrell elaine hendrix harland williams mark mckinney glynis johns jason blicker gerry bamman emmy laybourne jennifer irwin tom green
8131,surat dari praha,Indonesia,fulfill deceased mother final wish young woman deliver old letter mysterious man,dramas international movies romantic movies,tio pakusadewo julie estelle widyawati rio dewanto chicco jerikho jajang c. noer shafira umm,fulfill deceased mother final wish young woman deliver old letter mysterious man dramas international movies romantic movies tio pakusadewo julie estelle widyawati rio dewanto chicco jerikho jajang c. noer shafira umm
8132,surviving r. kelly part ii: the reckoning,United States,come forward harrowing kelly criminal case gain momentum powerful,crime shows docuseries,r. kelly,come forward harrowing kelly criminal case gain momentum powerful crime shows docuseries r. kelly
8133,survivors guide to prison,United States,former critique prison system documentary handbook,documentaries,susan sarandon,former critique prison system documentary handbook documentaries susan sarandon
8134,susanne bartsch: on top,United States,beyond persona documentary woman behind event planner legacy cultural icon activist,documentaries lgbtq movies,susanne bartsch,beyond persona documentary woman behind event planner legacy cultural icon activist documentaries lgbtq movies susanne bartsch
8135,sustainable,United States,chef rick discus history leading sustainable food movement could change eat future,documentaries,nan,chef rick discus history leading sustainable food movement could change eat future documentaries nan
8136,swami,India,marriage spirited intellectual young woman adjust life man choice,dramas independent movies international movies,shabana azmi girish karnad vikram dheeraj kumar shashikala utpal dutt preeti ganguli sudha shivpuri,marriage spirited intellectual young woman adjust life man choice dramas independent movies international movies shabana azmi girish karnad vikram dheeraj kumar shashikala utpal dutt preeti ganguli sudha shivpuri
8137,swami baba ramdev: the untold story,,born poverty education village boy society become foremost spiritual guru revered million,international shows dramas,naman jain kranti prakash jha tej sapru chetan pandit hitesh bhardwaj sadhil kapoor,born poverty education village boy society become foremost spiritual guru revered million international shows dramas naman jain kranti prakash jha tej sapru chetan pandit hitesh bhardwaj sadhil kapoor
8138,sweeney todd: the demon barber of fleet street,"United States, United Kingdom",falsely vengeful murderer help baker whose meat become toast,dramas horror movies music musicals,johnny depp helena bonham carter alan rickman timothy spall sacha baron cohen jamie campbell bower laura michelle kelly jayne wisener ed sanders,falsely vengeful murderer help baker whose meat become toast dramas horror movies music musicals johnny depp helena bonham carter alan rickman timothy spall sacha baron cohen jamie campbell bower laura michelle kelly jayne wisener ed sanders
8139,sweet virginia,"United States, Canada",remote town sudden triple murder former rodeo champ lone newcomer violent occupation,dramas independent movies thrillers,jon bernthal christopher abbott imogen poots rosemarie dewitt odessa young joseph lyle taylor jonathan tucker garry chalk jared abrahamson gabrielle rose,remote town sudden triple murder former rodeo champ lone newcomer violent occupation dramas independent movies thrillers jon bernthal christopher abbott imogen poots rosemarie dewitt odessa young joseph lyle taylor jonathan tucker garry chalk jared abrahamson gabrielle rose
8140,swiss army man,"United States, Sweden",corpse surprising hopeless man wilderness someone talk reason live,comedies dramas independent movies,paul dano daniel radcliffe mary elizabeth winstead antonia ribero timothy eulich richard gross marika casteel andy hull aaron marshall shane carruth,corpse surprising hopeless man wilderness someone talk reason live comedies dramas independent movies paul dano daniel radcliffe mary elizabeth winstead antonia ribero timothy eulich richard gross marika casteel andy hull aaron marshall shane carruth
8141,sword master,"China, Hong Kong",past master swordsman identity work anonymously janitor brothel setting motion violent chain,action adventure dramas international movies,kenny lin peter ho jiang mengjie jiang yiyan paw hee ching,past master swordsman identity work anonymously janitor brothel setting motion violent chain action adventure dramas international movies kenny lin peter ho jiang mengjie jiang yiyan paw hee ching
8142,sword masters: two champions of shaolin,Hong Kong,warrior tung injured battle tang clan back health master tung deadly art also love teacher daughter,action adventure international movies,meng lo sheng chiang li wang siu-ho chin feng lu chien sun hsueh-erh wen tai-ping yu,warrior tung injured battle tang clan back health master tung deadly art also love teacher daughter action adventure international movies meng lo sheng chiang li wang siu-ho chin feng lu chien sun hsueh-erh wen tai-ping yu
8143,sym-bionic titan,United States,planet land earth pose fight mutant space joining become powerful giant robot,kids,tara strong kevin thoms brian posehn john dimaggio tim russ don leslie kari wahlgren,planet land earth pose fight mutant space joining become powerful giant robot kids tara strong kevin thoms brian posehn john dimaggio tim russ don leslie kari wahlgren
8144,taal,India,businessman aspiring singer romance uphill climb must depart suave manager,dramas international movies music musicals,anil kapoor aishwarya rai bachchan akshaye khanna amrish puri alok nath mita vasisht saurabh shukla supriya karnik,businessman aspiring singer romance uphill climb must depart suave manager dramas international movies music musicals anil kapoor aishwarya rai bachchan akshaye khanna amrish puri alok nath mita vasisht saurabh shukla supriya karnik
8145,tahaan,India,family donkey moneylender across find beloved pet,dramas international movies,purav bhandare anupam kher rahul bose victor banerjee ankush dubey rasika dugal rahul khanna sana shaikh dheirya sonecha fatima sana shaikh sarika,family donkey moneylender across find beloved pet dramas international movies purav bhandare anupam kher rahul bose victor banerjee ankush dubey rasika dugal rahul khanna sana shaikh dheirya sonecha fatima sana shaikh sarika
8146,take me home tonight,"United States, Germany",set financial boom late tale recent college grad trying figure life,comedies romantic movies,topher grace anna faris dan fogler teresa palmer chris pratt michael biehn jeanie hackett lucy punch michelle trachtenberg demetri martin,set financial boom late tale recent college grad trying figure life comedies romantic movies topher grace anna faris dan fogler teresa palmer chris pratt michael biehn jeanie hackett lucy punch michelle trachtenberg demetri martin
8147,taken,"France, United States",personal tragedy life highly skilled former green beret drawn career secret government operative,crime shows action adventure thrillers,clive standen jennifer beals gaius charles brooklyn sudano monique gabriela curnen michael irby james landry hébert jose pablo cantillo james landry hebert,personal tragedy life highly skilled former green beret drawn career secret government operative crime shows action adventure thrillers clive standen jennifer beals gaius charles brooklyn sudano monique gabriela curnen michael irby james landry hébert jose pablo cantillo james landry hebert
8148,tales of the city (1993),"United Kingdom, United States",naive mary ann singleton san new family landlady eclectic barbary lane,dramas,olympia dukakis donald moffat laura linney marcus d'amico billy campbell thomas gibson paul gross barbara garrick chloe webb nina foch parker posey stanley desantis,naive mary ann singleton san new family landlady eclectic barbary lane dramas olympia dukakis donald moffat laura linney marcus d'amico billy campbell thomas gibson paul gross barbara garrick chloe webb nina foch parker posey stanley desantis
8149,tamanchey,India,man woman run law drawn common bond mutual dependency,action adventure international movies romantic movies,nikhil dwivedi richa chadha damandeep singh baggan vijay pande talib mehdi tushar phulke mahesh gupta prasad labhe,man woman run law drawn common bond mutual dependency action adventure international movies romantic movies nikhil dwivedi richa chadha damandeep singh baggan vijay pande talib mehdi tushar phulke mahesh gupta prasad labhe
8150,tarif de nuit,France,night quickly two provoke wrong taxi driver something bigger cab fare,international movies thrillers,jonathan howard jonathan demurger fanny valette jess liaudin,night quickly two provoke wrong taxi driver something bigger cab fare international movies thrillers jonathan howard jonathan demurger fanny valette jess liaudin
8151,tarzan,United States,coast lone child wild become lord jungle,children family movies,tony goldwyn minnie driver glenn close brian blessed nigel hawthorne rosie o'donnell lance henriksen wayne knight alex d. linz,coast lone child wild become lord jungle children family movies tony goldwyn minnie driver glenn close brian blessed nigel hawthorne rosie o'donnell lance henriksen wayne knight alex d. linz
8152,tarzan 2,United States,king jungle ascend throne find charming hit animated movie young child,children family movies,harrison chad george carlin brad garrett ron perlman estelle harris glenn close lance henriksen brenda grate harrison fahn,king jungle ascend throne find charming hit animated movie young child children family movies harrison chad george carlin brad garrett ron perlman estelle harris glenn close lance henriksen brenda grate harrison fahn
8153,tattah,Egypt,man must prove hapless woman date suddenly,comedies international movies,mohamed saad dolly shahin marwa hayatem sayed rajab omar mustafa metwally samy maghawry nabil issa ragaa al-geddawy samir ghanem,man must prove hapless woman date suddenly comedies international movies mohamed saad dolly shahin marwa hayatem sayed rajab omar mustafa metwally samy maghawry nabil issa ragaa al-geddawy samir ghanem
8154,tayo the little bus movie: mission ace,United States,favorite racing car mysterious magical land filled thrown away,children family movies,moon nam-sook jeong hye-ok choe hana gim yeong-seon,favorite racing car mysterious magical land filled thrown away children family movies moon nam-sook jeong hye-ok choe hana gim yeong-seon
8155,teach us all,United States,since brown board education yet remain largely working change,documentaries,nan,since brown board education yet remain largely working change documentaries nan
8156,teen patti,India,luck together math expert obscure genius casino probability may utterly chat try new theory gambling,dramas international movies thrillers,amitabh bachchan madhavan ben kingsley shraddha kapoor siddharth kher dhruv ganesh vaibhav talwar,luck together math expert obscure genius casino probability may utterly chat try new theory gambling dramas international movies thrillers amitabh bachchan madhavan ben kingsley shraddha kapoor siddharth kher dhruv ganesh vaibhav talwar
8157,teenage cocktail,United States,two teen form intense bond launch lucrative business leading dangerous encounter married man,dramas independent movies lgbtq movies,nichole bloom fabianne therese michelle borth pat healy aj bowen joshua leonard,two teen form intense bond launch lucrative business leading dangerous encounter married man dramas independent movies lgbtq movies nichole bloom fabianne therese michelle borth pat healy aj bowen joshua leonard
8158,teenage mutant ninja turtles,"Hong Kong, United States",animated adventure master splinter four back shape defeat running amok new york,children family movies comedies,chris evans sarah michelle gellar mako iwamatsu kevin smith patrick stewart zhang ziyi laurence fishburne mitchell whitfield james arnold taylor mikey kelley nolan north,animated adventure master splinter four back shape defeat running amok new york children family movies comedies chris evans sarah michelle gellar mako iwamatsu kevin smith patrick stewart zhang ziyi laurence fishburne mitchell whitfield james arnold taylor mikey kelley nolan north
